Bug_id,Project,Category,Subcategory,Creation Date,Symptom,Root Cause(patch),Importance,Title
90538,GCC,compiletime_polymorphic,template instantiation,2019/5/20,Reject Valid,Error Code Logic,P3 normal,[9/10 Regression] Redeclaration error when expanding parameter pack multiple times in a lambda
94102,GCC,compiletime_polymorphic,template instantiation,2020/3/9,Reject Valid,Incorrect Branch,P3 normal,Variadic template deduction guide issue - error: 'In instantiation of'
89761,GCC,compiletime_polymorphic,template instantiation,2019/3/18,Crash,Overlooked Case,P3 normal,"[9 Regression] ICE: tree check: expected class 'expression', have 'exceptional' (argument_pack_select)"
99844,GCC,compiletime_polymorphic,template instantiation,2021/3/31,Crash,Overlooked Case,P2 normal,[9/10 Regression] ICE: unexpected expression 'B' of kind template_parm_index
95371,GCC,compiletime_polymorphic,constraints and concepts,2020/5/27,Crash,Overlooked Case,P3 normal,[10/11 Regression] ICE concepts with template template parameter since
80746,GCC,compiletime_polymorphic,constraints and concepts,2017/5/15,Crash,Others,P3 normal,[concepts] ICE evaluating constraints for concepts with dependent template parameters
94926,GCC,object,initialization & destruction,2020/5/2,Accept Invalid,Error Code Logic,P3 normal,[9/10/11 regression] invalid use of incomplete type not recogniced for static self reference of templated struct since
98930,GCC,compiletime_polymorphic,template instantiation,2021/2/2,Crash,Overlooked Case,P3 normal,ICE with static variable in template function used as template argument
89217,GCC,object,initialization & destruction,2019/2/6,Reject Valid,Assignment Error,P1 normal,"[9 Regression] ICE tree check: expected constructor, have error_mark in split_nonconstant_init_1"
103968,GCC,compiletime_polymorphic,template alias,2022/1/10,Crash,Overlooked Case,P2 normal,[11 Regression] ICE and segfault when instantiating template with lvalue ref argument and nested template type
88979,GCC,compiletime_polymorphic,template alias,2019/1/22,Reject Valid,Error Code Logic,P3 normal,[C++20] P0634R3 not working for constructor parameter types
96199,GCC,compiletime_polymorphic,template alias,2020/7/14,Crash,Error Code Logic,P2 normal,[10/11 Regression] internal compiler error: in tsubst_copy with CTAD for alias templates
93248,GCC,compiletime_polymorphic,template alias,2020/1/13,Crash,API Misuse,P2 normal,[8/9/10 Regression] ICE in decltype of template constructor with default argument within a class template since
101988,GCC,compiletime_polymorphic,template instantiation,2021/8/19,Accept Invalid,Error Message,P1 normal,[12 Regression] Accepts invalid new-expression of array of deduced class template
97679,GCC,compiletime_polymorphic,template instantiation,2020/11/2,Crash,Overlooked Case,P2 normal,[10 Regression] [concepts] ICE with CTAD for a nested class template with constrained constructor
98844,GCC,compiletime_polymorphic,template alias,2021/1/27,Accept Invalid,Incorrect Branch,P3 normal,Deduction guides don't inhibit the aggregate deduction candidate
105734,GCC,encapsulation,class scope(global),2022/5/26,Reject Valid,Incorrect Branch,P2 normal,"[12/13 Regression]: Incorrect ""error: invalid use of 'auto'"" for explicit destructor inside a template"
94775,GCC,compiletime_polymorphic,template alias,2020/4/26,Crash,Error Code Logic,P2 normal,"[8/9/10 Regression] ICE in strip_typedefs, at cp/tree.c:1734 since"
92103,GCC,compiletime_polymorphic,constraints and concepts,2019/10/15,Reject Valid,Error Code Logic,P3 normal,constraints not checked on nested class template
91826,GCC,encapsulation,class scope(global),2019/9/19,Reject Valid,Error Code Logic,P2 normal,[8/9/10 Regression] Unexpected behavior when class defined with namespace alias
100502,GCC,encapsulation,member access,2021/5/10,Crash,API Misuse,P1 normal,[11/12 Regression] ICE in enforce_access at cp/semantics.c:368 since
96840,GCC,compiletime_polymorphic,constraints and concepts,2020/8/29,Reject Valid,Overlooked Case,P3 normal,[11 Regression] Recursive substitution in constrained commutative operator
98413,GCC,object,initialization & destruction,2020/12/21,Crash,Overlooked Case,P1 normal,[11 Regression] ICE on placement new and member pointer
89050,GCC,encapsulation,class scope(global),2019/1/24,Reject Valid,Incorrect Branch,P3 normal,[8 Regression] GCC sometimes requires this to be captured when doing overload resolution but selecting a static member function
90546,GCC,compiletime_polymorphic,template instantiation,2019/5/20,Wrong Code,Incorrect Branch,P2 normal,[9/10 Regression] Incorrect template argument deduction for conversion functions
91377,GCC,compiletime_polymorphic,template instantiation,2019/8/6,Crash,Incorrect Branch,P2 normal,"[8/9/10 Regression] ICE with non-static block scope constexpr, captured in lambda, used as template parameter"
95999,GCC,compiletime_polymorphic,template specialization,2020/6/30,Crash,API Misuse,P4 trivial,"[9/10/11/12 Regression] ICE in tree check: expected integer_cst, have var_decl in get_len, at tree.h:5951"
101767,GCC,object,initialization & destruction,2021/8/3,Reject Valid,Overlooked Case,P1 normal,[11 Regression] Aggregate initialization fails for struct that has both unnamed struct and union fields
95369,GCC,compiletime_polymorphic,template instantiation,2020/5/27,Accept Invalid,Overlooked Case,P3 normal,braced-init-list with designated initializers as template-argument rejected
80178,GCC,object,copy & move,2017/3/24,Wrong Code,Error Message,P3 normal,Class with deleted copy and move constructors uses wrong argument passing ABI
79064,GCC,compiletime_polymorphic,template instantiation,2017/1/11,Reject Valid,Overlooked Case,P3 normal,Cannot overload member function templates on type of literal
104647,GCC,compiletime_polymorphic,template alias,2022/2/22,Crash,Overlooked Case,P2 normal,"[10/11/12/13 Regression] ICE in get_or_insert_ctor_field, at cp/constexpr.cc:3705 since"
92134,GCC,object,initialization & destruction,2019/10/17,Accept Invalid,Assignment Error,P3 normal,static constinit members incorrectly compile
107280,GCC,object,initialization & destruction,2022/10/16,Crash,API Misuse,P2 normal,"[10/11 Regression] ICE: tree check: expected constructor, have view_convert_expr in cxx_eval_store_expression, at cp/constexpr.cc:5928"
93805,GCC,object,initialization & destruction,2020/2/18,Diagnostic,API Misuse,P2 normal,[9 Regression] A suspicious -Werror=noexcept warning since
79796,GCC,object,initialization & destruction,2017/3/1,Crash,Overlooked Case,P2 normal,[5 Regression] ICE with NSDMI and this pointer
103936,GCC,object,initialization & destruction,2022/1/7,Crash,Overlooked Case,P3 blocker,[12 Regression] ICE with cs[5]{}
100963,GCC,object,initialization & destruction,2021/6/8,Wrong Code,API Misuse,P3 normal,[11/12 Regression] GCC 11 regression: templated constructor with std::initializer_list<T> is not selected
92907,GCC,object,overloading,2019/12/11,Wrong Code,API Misuse,P3 normal,"noexcept does not consider ""const"" in member functions"
103783,GCC,object,overloading,2021/12/21,Reject Valid,API Misuse,P3 normal,Ambiguous overload between constrained static member and unconstrained non-static member
104846,GCC,object,overloading,2022/3/8,Crash,API Misuse,P4 normal,"[10/11/12 Regression] ICE: tree check: expected function_decl, have field_decl in grokmethod, at cp/decl.cc:17999"
79474,GCC,object,overloading,2017/2/12,Crash,Incorrect Branch,P3 normal,Multiple definitions of user-defined conversion operator cause ICE (internal compiler error)
100763,GCC,encapsulation,class scope(global),2021/5/26,Diagnostic,Overlooked Case,P3 normal,Diagnostics of type alias is missing scope
82299,GCC,object,initialization & destruction,2017/9/22,Diagnostic,API Misuse,P3 normal,-Wuseless-cast errors on typed enums used in member data initializers in c++1z
79746,GCC,inheritance,derived class construction & destruction,2017/2/28,Diagnostic,Overlooked Case,P3 normal,[7 Regression] Confusing -Wunused-but-set-parameter warning with virtual inheritance
99365,GCC,compiletime_polymorphic,constraints and concepts,2021/3/3,Reject Valid,Error Code Logic,P1 normal,[11 Regression] ICE on partial specialization with constrained placeholder NTTP
101098,GCC,compiletime_polymorphic,constraints and concepts,2021/6/16,Crash,Incorrect Branch,P3 normal,[11/12 Regression] ICE with explicit specialization of constrained function template
98644,GCC,compiletime_polymorphic,constraints and concepts,2021/1/12,Crash,Incorrect Branch,P2 normal,"[10/11 Regression] [concepts] ICE in satisfaction_value, at cp/constraint.cc:2825"
96623,GCC,encapsulation,member access,2020/8/15,Crash,Assignment Error,P1 normal,"[11 Regression] ICE in inject_parm_decls, at cp/parser.c:23893"
91606,GCC,compiletime_polymorphic,template instantiation,2019/8/30,Wrong Code,Incorrect Branch,P3 normal,[9 regression] Optimization leads to invalid code
85277,GCC,encapsulation,member access,2018/4/7,Diagnostic,Error Message,P1 normal,[8 Regression] Broken diagnostic for offsetof with static member function
84434,GCC,compiletime_polymorphic,template instantiation,2018/2/18,Crash,Error Code Logic,P1 normal,"[8 Regression] internal compiler error: tree check: expected var_decl or field_decl or function_decl or type_decl or template_decl, have using_decl in build_deduction_guide, at cp/pt.c:25636"
86823,GCC,encapsulation,class scope(global),2018/8/1,Accept Invalid,API Misuse,P2 normal,[8 Regression] private member template struct/class is publicly accessible
85141,GCC,encapsulation,class scope(global),2018/3/31,Crash,API Misuse,P2 normal,[6/7/8 Regression] ICE with pointer arithmetic of static member function address
88183,GCC,compiletime_polymorphic,template(no instantiation),2018/11/24,Crash,Error Code Logic,P2 normal,[8 Regression] Fold expression with operator .* inside an polymorphic lambda
84590,GCC,object,initialization & destruction,2018/2/27,Crash,Overlooked Case,P2 normal,"[7 Regression] -fsanitize=undefined internal compiler error: tree check: expected constructor, have target_expr in split_nonconstant_init_1, at cp/typeck2.c:629"
87652,GCC,encapsulation,class scope(global),2018/10/19,Reject Valid,Assignment Error,P2 normal,[8 Regression] inner class template of outer class template can't access friend's protected data member
88528,GCC,object,overloading,2018/12/17,Crash,Overlooked Case,P2 normal,[7 Regression] ICE with templated operator bool() in gcc 7
85061,GCC,encapsulation,member access,2018/3/24,Crash,API Misuse,P3 normal,ICE with __builtin_offsetof applied to static member
87547,GCC,others,others,2018/10/8,Wrong Code,API Misuse,P3 normal,G++ reports bad type names for bit-field members
88578,GCC,object,initialization & destruction,2018/12/22,Wrong Code,Incorrect Branch,P3 normal,Static C++ objects with flexible array members overlap when initializes are non-const
86190,GCC,runtime_polymorphic,casting,2018/6/18,Diagnostic,Error Message,P3 normal,[6/7 Regression] -Wsign-conversion ignores explicit conversion in some cases
87530,GCC,object,copy & move,2018/10/5,Accept Invalid,Numberical Error,P3 normal,copy elision in return statement doesn't check for rvalue reference to object type
84605,GCC,others,others,2018/2/27,Crash,Incorrect Branch,P4 normal,"[8 Regression] internal compiler error: in xref_basetypes, at cp/decl.c:13818"
47555,LLVM,inheritance,derived class construction & destruction,2020/9/16,Reject Valid,Overlooked Case,P normal,Inherited constructor unusable for constexpr static member of class template
19104,LLVM,inheritance,multiple inheritance,2014/3/11,Wrong Code,Error Code Logic,P normal,[Windows] Incorrect handling of non-virtual calls of virtual methods
31701,LLVM,compiletime_polymorphic,template(no instantiation),2017/1/19,Crash,Incorrect Branch,P normal,ICE when initializing a const class with a class static variable template
37631,LLVM,compiletime_polymorphic,template instantiation,2018/5/30,Accept Invalid,Error Message,P normal,missing access check for deduction guide declarations
53354,LLVM,compiletime_polymorphic,template specialization,2022/1/22,Crash,API Misuse,,Segfault from constraining partial specialization on nested template type
24730,LLVM,object,initialization & destruction,2015/9/6,Crash,Error Code Logic,P normal,Clang 3.7 Crashes in MismatchingNewDeleteDetector
20259,LLVM,encapsulation,class scope(global),2014/7/9,Reject Valid,Overlooked Case,P normal,Friend lookup works differently in ms mode
42778,LLVM,object,initialization & destruction,2019/7/26,Reject Valid,Overlooked Case,P enhancement,Cannot aggregate initialize with C++17 *this lambda capture
18477,LLVM,encapsulation,class scope(global),2014/1/14,Wrong Code,Error Code Logic,P normal,lambda capturing confused when instantiating a class with a default initializer
22465,LLVM,object,initialization & destruction,2015/2/4,Wrong Code,Incorrect Branch,P normal,An extra InitListExpr in r227424 likely caused by DR1467
36055,LLVM,object,initialization & destruction,2018/1/23,Crash,API Misuse,P normal,Reproducible Clang Crash + strongly suspected invalid code generation
22855,LLVM,object,initialization & destruction,2015/3/9,Crash,Others,P normal,Assertion failed: Ptr must be a pointer to Val type!
19195,LLVM,object,initialization & destruction,2014/3/19,Crash,Others,P normal,Crash on valid codegen'ing member class template with in-class initialized member
18542,LLVM,compiletime_polymorphic,template(no instantiation),2014/1/19,Crash,Error Code Logic,P normal,Crash defining method of undefined class inside an incomplete type
27811,LLVM,compiletime_polymorphic,template(no instantiation),2016/5/18,Wrong Code,Overlooked Case,P normal,[ms] clang-cl emits scalar deleting ctor and vtable for templates with dllimported instantiation declaration
40395,LLVM,compiletime_polymorphic,template instantiation,2019/1/21,Hang,Others,P enhancement,__uuidof at a template argument causes infinite template instantiation
47805,LLVM,object,initialization & destruction,2020/10/12,Reject Valid,Others,P enhancement,By-value function parameter changes are rolled back prior to destructor call during constant evaluation
62102,LLVM,compiletime_polymorphic,template(no instantiation),2023/4/13,Crash,Error Message,,[clang] Invalid cast assertion in clang::Sema::PrintInstantiationStack()
22075,LLVM,runtime_polymorphic,override control,2014/12/31,Diagnostic,Others,P normal,Poor diagnostics emitted when override appears before const in a method declaration
19741,LLVM,encapsulation,member access,2014/5/14,Reject Valid,Overlooked Case,P normal,clang incorrectly rejects constexpr constructor which modified member variable in its body
34644,LLVM,others,others,2017/9/16,Wrong Code,Incorrect Branch,P normal,extern template turns constexpr into non-constexpr
28394,LLVM,encapsulation,class scope(global),2016/7/1,Wrong Code,Overlooked Case,P normal,out-of-line declaration of C++17 inline variables should make definition non-discardable
33189,LLVM,object,initialization & destruction,2017/5/26,Crash,API Misuse,P normal,Clang Crashes on template destructor declaration
28105,LLVM,object,initialization & destruction,2016/6/13,Crash,Overlooked Case,P normal,"clang Crashes on C++ code with invalid default argument for constructor: Assertion `Val && ""isa<> used on a null pointer""' failed"
104476,GCC,inheritance,member access(inherit),2022/2/9,Reject Valid,Assignment Error,P2 normal,[11 Regression] using-decl shadowed by member function when in incomplete-class context
104432,GCC,inheritance,member access(inherit),2022/2/7,Crash,Error Code Logic,P1 normal,[12 Regression] ICE in operator() from filter_memfn_lookup since
94549,GCC,inheritance,derived class construction & destruction,2020/4/10,Reject Valid,Incorrect Branch,P1 normal,"[10 Regression] Inherited and constrained constructors are ""ambiguous"" even if they aren't"
100983,GCC,compiletime_polymorphic,template instantiation,2021/6/9,Reject Valid,Error Code Logic,P3 normal,Deduction guide for member template class rejected at class scope
93286,GCC,compiletime_polymorphic,template alias,2020/1/16,Crash,Assignment Error,P1 normal,"[10 Regression] ICE: tree check: did not expect class   type  , have   type   (reference_type) in convert_from_reference, at cp/cvt.c:550 since"
105803,GCC,compiletime_polymorphic,template instantiation,2022/6/1,Crash,Overlooked Case,P3 normal,[13 regression] ICE at gcc/cp/pt.cc:27737 after
88757,GCC,compiletime_polymorphic,template(no instantiation),2019/1/8,Reject Valid,Overlooked Case,P1 normal,[9 Regression] GCC wrongly treats dependent name as a type when it should be treated as a value
88815,GCC,object,overloading,2019/1/12,Wrong Code,Error Code Logic,P1 normal,[9 Regression] is_constexpr (based on narrowing conversion and expression SFINAE) broken
94944,GCC,compiletime_polymorphic,template instantiation,2020/5/4,Reject Valid,Assignment Error,P3 normal,compile error accessing member function of dependent base class template in noexcept specification
82152,GCC,inheritance,derived class construction & destruction,2017/9/8,Crash,Overlooked Case,P2 normal,[7 Regression] ICE on invalid code in C++17 mode if inheriting constructors are used
100065,GCC,compiletime_polymorphic,template(no instantiation),2021/4/13,Accept Invalid,Overlooked Case,P3 normal,Conditional explicit doesn't work for deduction guide
79504,GCC,object,overloading,2017/2/14,Reject Valid,Overlooked Case,P3 normal,Overload resolution in trailing-return-type ignores reference qualifier and leads to recursive template instantiation.
90210,GCC,compiletime_polymorphic,template instantiation,2019/4/23,Accept Invalid,Incorrect Branch,P3 normal,[C++17] CTAD forbidding explicit deduction guide for copy-list-initialization
90916,GCC,encapsulation,member access,2019/6/18,Crash,Incorrect Branch,P1 normal,"[10 Regression] ICE in retrieve_specialization, at cp/pt.c:1258"
101181,GCC,compiletime_polymorphic,constraints and concepts,2021/6/23,Crash,API Misuse,P2 normal,[11/12 Regression] ICE when using an alias template
106969,GCC,encapsulation,class scope(global),2022/9/19,Reject Valid,Assignment Error,P2 normal,[12 Regression] member function constness incorrectly propagates to local class member function return type deduction
97297,GCC,encapsulation,class scope(global),2020/10/5,Reject Valid,API Misuse,P3 normal,typename wrongly required in out-of-class member function definitions
89913,GCC,compiletime_polymorphic,template alias,2019/4/1,Crash,Overlooked Case,P4 minor,[9 Regression] ICE with invalid using declaration
105518,GCC,encapsulation,class scope(global),2022/5/7,Reject Valid,Error Code Logic,P3 normal,[rejects valid] nested lambda using an outer type alias fails with constexpr integer in that alias
100032,GCC,compiletime_polymorphic,template alias,2021/4/11,Accept Invalid,Overlooked Case,P2 normal,[9/10 Regression] renaming alias template that also adds cv-qualifiers is deemed equivalent to underlying template
79687,GCC,object,initialization & destruction,2017/2/23,Wrong Code,Error Code Logic,P3 normal,[5/6 Regression] Wrong Code with pointer-to-member
106882,GCC,others,others,2022/9/7,Reject Valid,Others,P3 normal,passing X as 'this' argument discards qualifiers
89705,GCC,encapsulation,class scope(global),2019/3/13,Reject Valid,API Misuse,P2 normal,"[7/8 Regression] ICE in convert_like_real, at cp/call.c:7334"
93046,GCC,others,others,2019/12/23,Crash,Overlooked Case,P3 normal,[10 Regression] ICE in cp_gimplify_init_expr
100209,GCC,runtime_polymorphic,casting,2021/4/22,Reject Valid,Overlooked Case,P3 normal,multiple inheritance with crtp pattern fails on sequentioal member access
90938,GCC,object,initialization & destruction,2019/6/19,Reject Valid,Overlooked Case,P2 normal,"[9 Regression] Initializing array with {1} works, but not {0}"
103337,GCC,object,initialization & destruction,2021/11/19,Reject Valid,API Misuse,P3 normal,rejects-valid brace elision inside designated initializer
89974,GCC,compiletime_polymorphic,template instantiation,2019/4/4,Reject Valid,Incorrect Branch,P3 normal,ICE on a definition of a non-type specialization on a struct object with pointer to member function
101803,GCC,object,initialization & destruction,2021/8/6,Reject Valid,API Misuse,P3 normal,CTAD fails for nested designated initializers
101405,GCC,object,initialization & destruction,2021/7/10,Crash,Error Code Logic,P2 normal,"[12 Regression] internal compiler error: in reshape_init_class, at cp/decl.c:6483"
96876,GCC,object,initialization & destruction,2020/8/31,Accept Invalid,Overlooked Case,P3 normal,missing check for destructibility of base classes in aggregate initialization
89214,GCC,object,initialization & destruction,2019/2/5,Crash,Overlooked Case,P2 normal,"[7/8 Regression] ICE in digest_init_r, at cp/typeck2.c:1211 with -std=c++17"
98423,GCC,object,initialization & destruction,2020/12/23,Reject Valid,Overlooked Case,P3 normal,The defaulted default constructor defined as deleted when one of variant member has a default member initializer
104225,GCC,object,initialization & destruction,2022/1/25,Accept Invalid,Incorrect Branch,P2 normal,[9 Regression] accepts-invalid new expression that uses deleted implicit default constructor of class specialization
88969,GCC,object,initialization & destruction,2019/1/22,Crash,Error Code Logic,P1 normal,"[9 Regression] ICE in build_op_delete_call, at cp/call.c:6509"
94470,GCC,object,initialization & destruction,2020/4/3,Reject Valid,API Misuse,P2 normal,[9 Regression] Constexpr variable initialization with self-modifying constructor incorrectly rejected since
80935,GCC,object,initialization & destruction,2017/5/31,Reject Valid,Incorrect Branch,P3 normal,[C++1z] incorrect error 'uninitialized variable in constexpr function' when conditionally declaring variable inside lambda inside template class
90243,GCC,object,initialization & destruction,2019/4/25,Diagnostic,Error Message,P3 normal,diagnostic notes that belong to a suppressed error about an uninitialized variable in a constexpr function are still shown
82899,GCC,object,initialization & destruction,2017/11/8,Others,API Misuse,P3 normal,*this in constructors could not alias with reference input parameters of the same type
93413,GCC,inheritance,derived class construction & destruction,2020/1/24,Reject Valid,Error Code Logic,P3 normal,Defaulted constexpr Destructor not being found during constant evaluation
89392,GCC,inheritance,member access(inherit),2019/2/18,Crash,Error Code Logic,P3 normal,"[7 Regression] ICE in bitmap_bit_p, at bitmap.c:978"
95567,GCC,inheritance,member access(inherit),2020/6/7,Wrong Code,Error Code Logic,P3 normal,"Defaulted virtual <=> has the wrong behavior, vtable is checked when it should not be"
94932,GCC,encapsulation,friends,2020/5/3,Crash,Error Message,P2 normal,"[10/11 Regression] ICE in ovl_skip_hidden, at cp/tree.c:2292 since"
99251,GCC,runtime_polymorphic,casting,2021/2/24,Diagnostic,Error Message,P3 normal,[11 Regression] inconsistent -Wnonnull warning behaviour with dynamic_cast
96003,GCC,runtime_polymorphic,casting,2020/6/30,Diagnostic,Error Code Logic,P3 normal,[11 Regression] spurious -Wnonnull calling a member on the result of static_cast
94492,GCC,object,copy & move,2020/4/5,Diagnostic,API Misuse,P3 normal,no way to silence -Wdeprecated-copy for aggregates
92106,GCC,object,initialization & destruction,2019/10/15,Crash,Assignment Error,P3 normal,[8 Regression] ICE with structured bindings and -Wreturn-local-addr
92582,GCC,compiletime_polymorphic,constraints and concepts,2019/11/19,Crash,API Misuse,P1 normal,[10 Regression] internal compiler error: Segmentation fault with concept on constructor
103700,GCC,compiletime_polymorphic,constraints and concepts,2021/12/14,Reject Valid,Overlooked Case,P3 normal,Incomplete type not causing constraints to fail
82833,GCC,compiletime_polymorphic,constraints and concepts,2017/11/4,Crash,Others,P3 normal,[concepts] Out-of-line definition of nested class template errors with constraint (ICE)
84330,GCC,compiletime_polymorphic,constraints and concepts,2018/2/12,Crash,Incorrect Branch,P4 normal,[7 Regression] [concepts] ICE with broken constraint
90858,GCC,others,others,2019/6/12,Reject Valid,API Misuse,P3 normal,Pointer to member is treated as non-constexpr
80456,GCC,encapsulation,member access,2017/4/18,Reject Valid,Overlooked Case,P3 normal,[9/10 Regression] calling constexpr member function from volatile-qualified member function: error:   this   is not a constant expression
98333,GCC,object,initialization & destruction,2020/12/16,Crash,Overlooked Case,P2 normal,"[10 Regression] ICE in check_qualified_type, at tree.c:6593 since"
101717,GCC,encapsulation,class scope(global),2021/8/2,Crash,Incorrect Branch,P2 normal,[9 Regression] ICE capturing static member within stateless generic lambda
92531,GCC,compiletime_polymorphic,template(no instantiation),2019/11/15,Crash,Error Code Logic,P2 normal,"[9 Regression] ICE in uses_template_parms, at cp/pt.c:10471"
84098,GCC,compiletime_polymorphic,template instantiation,2018/1/29,Crash,Error Code Logic,P1 normal,[8 Regression] ICE when using a lambda in a in-class static member initialization
84447,GCC,inheritance,derived class construction & destruction,2018/2/18,Crash,Error Code Logic,P1 normal,[8 Regression] ICE with inherited deleted constructor and default argument
85545,GCC,object,initialization & destruction,2018/4/26,Crash,Error Code Logic,P1 normal,[8 Regression] ICE with static_cast of pointer-to-member-function
84445,GCC,others,others,2018/2/18,Crash,Incorrect Branch,P2 normal,[7 Regression] ICE with __builtin_launder and virtual function
85662,GCC,others,others,2018/5/5,Reject Valid,Others,P2 normal,"[8/9 Regression] ""error: non-constant condition for static assertion"" from __builtin_offsetof in C++"
85356,GCC,object,copy & move,2018/4/11,Crash,API Misuse,P2 normal,[7 Regression] ICE with operator=
86521,GCC,object,copy & move,2018/7/14,Reject Valid,Error Code Logic,P2 normal,[8 Regression] GCC 8 selects incorrect overload of ref-qualified conversion operator template
88368,GCC,object,copy & move,2018/12/5,Reject Valid,Error Code Logic,P2 normal,[8 Regression] Improper ``use of deleted function''
84927,GCC,object,initialization & destruction,2018/3/17,Crash,Assignment Error,P2 normal,[7 Regression] ICE with NSDMI and reference
88114,GCC,object,initialization & destruction,2018/11/20,Wrong Code,Overlooked Case,P3 normal,"""virtual ~destructor() = default"": Destructor not created"
84306,GCC,object,overloading,2018/2/9,Wrong Code,Error Code Logic,P3 normal,"Wrong overload selected with -std=c++17, explicit and {}"
85883,GCC,compiletime_polymorphic,template instantiation,2018/5/23,Reject Valid,Error Code Logic,P3 normal,class template argument deduction fails in new-expression
86439,GCC,object,initialization & destruction,2018/7/9,Reject Valid,Overlooked Case,P3 normal,CTAD with deleted copy constructor fails due to deduction-guide taking by value
85493,GCC,object,initialization & destruction,2018/4/22,Accept Invalid,Overlooked Case,P3 normal,decltype can use deleted constructor and deleted template function in template function
85743,GCC,compiletime_polymorphic,template alias,2018/5/11,Reject Valid,Error Code Logic,P3 normal,Cannot call template member function inside a variadic lambda unless specifying `this`
19010,LLVM,inheritance,derived class construction & destruction,2014/2/28,Reject Valid,Error Code Logic,P normal,Empty base of class with trivial default constructor is not initialized in constant expression
21942,LLVM,compiletime_polymorphic,template instantiation,2014/12/17,Accept Invalid,API Misuse,P normal,"""final"" and ""override"" specifiers are not recognized for some methods of class templates"
43390,LLVM,inheritance,multiple inheritance,2019/9/20,Wrong Code,API Misuse,P normal,CFI: wrong type passed to llvm.type.test with multiple inheritance devirtualization
33158,LLVM,runtime_polymorphic,casting,2017/5/24,Crash,API Misuse,P normal,Constant expression cast to virtual base Crashes
23828,LLVM,inheritance,member access(inherit),2015/6/12,Crash,API Misuse,P normal,"[ms] ""Expected MSInheritanceAttr on the CXXRecordDecl!"" assert when passing address of base class member function through subclass access path"
44658,LLVM,compiletime_polymorphic,template instantiation,2020/1/24,Crash,API Misuse,P enhancement,Assertion failure in constrained variadic function template of class template
22056,LLVM,object,initialization & destruction,2014/12/29,Crash,Assignment Error,P normal,Designated initializer with 'this' as array index Crashes GCC and clang
47175,LLVM,object,initialization & destruction,2020/8/14,Reject Valid,Error Code Logic,P normal,[CTAD] User-defined deduction guide not found when argument type is template parameter
42111,LLVM,object,initialization & destruction,2019/6/3,Wrong Code,Incorrect Branch,P normal,thread-local static variable unnecessarily constructed again
25731,LLVM,encapsulation,class scope(global),2015/12/3,Reject Valid,API Misuse,P normal,Compilation error in namespace alias (7.3.2) due to r253283
37768,LLVM,compiletime_polymorphic,template specialization,2018/6/11,Wrong Code,Error Message,P normal,expected the class name after '~' to name a destructor
36181,LLVM,compiletime_polymorphic,template instantiation,2018/1/31,Others,Error Code Logic,P enhancement,Microsoft mangling cannot mangle injected class name type
40238,LLVM,compiletime_polymorphic,template instantiation,2019/1/6,Reject Valid,Error Message,P enhancement,fails to deduce template specialization in friend declaration
20227,LLVM,runtime_polymorphic,casting,2014/7/7,Accept Invalid,Overlooked Case,P normal,Temporary expression result of dynamic_cast not lifetime-extended but corresponding static_cast is
23802,LLVM,runtime_polymorphic,casting,2015/6/9,Reject Valid,Overlooked Case,P normal,cast-expression from lvalue to rvalue reference fails while reinterpret_cast for the same conversion works
47861,LLVM,object,overloading,2020/10/15,Wrong Code,Overlooked Case,P enhancement,Lifetime of temporaries inconsistently extending when optiimzations are enabled
42980,LLVM,compiletime_polymorphic,constraints and concepts,2019/8/12,Accept Invalid,API Misuse,P enhancement,Conditional explicit not respected with out-of-line definition
25689,LLVM,object,copy & move,2015/12/1,Reject Valid,Error Code Logic,P release blocker,defaulted destructor pervents using constexpr on defaulted copy/move-operator
31639,LLVM,object,initialization & destruction,2017/1/13,Crash,Error Code Logic,P normal,diagnose_if triggers an assertion failure when disabling a constructor.
34402,LLVM,object,copy & move,2017/9/1,Wrong Code,Overlooked Case,P enhancement,Code completion shows implicitly deleted copy constructor
60082,LLVM,object,initialization & destruction,2023/1/17,Crash,API Misuse,,[clang] Recursive initialization causes front-end to seg fault
19178,LLVM,runtime_polymorphic,override control,2014/3/18,Wrong Code,Overlooked Case,P normal,__is_constructible(A) returns true if A is an abstract type.
22877,LLVM,object,initialization & destruction,2015/3/11,Wrong Code,Error Message,P normal,Missing destructors for default arguments created during list-initialization of array
45087,LLVM,object,copy & move,2020/5/5,Reject Valid,Incorrect Branch,P normal,Clang 10 fails compiling Swift on Fedora Linux on s390x architecture
19352,LLVM,encapsulation,friends,2014/4/7,Diagnostic,API Misuse,P normal,getLocation() points to the wrong position for FriendDecls
23186,LLVM,others,others,2015/4/10,Others,Assignment Error,P normal,Type correction leads to null dereference
94616,GCC,object,initialization & destruction,2020/4/16,Wrong Code,Incorrect Branch,P3 normal,[8 Regression] Incorrect destruction for partially built objects
79077,GCC,inheritance,derived class construction & destruction,2017/1/12,Wrong Code,Error Code Logic,P1 normal,[7 regression][new inheriting ctors] bad code for inherited ctor
101194,GCC,object,initialization & destruction,2021/6/24,Reject Valid,Overlooked Case,P3 normal,[9 Regression] aggregate init requires default constructor
94885,GCC,runtime_polymorphic,casting,2020/4/30,Accept Invalid,Overlooked Case,P3 normal,[10 Regression] Functional cast from int to empty class type with empty base incorrectly accepted with -std=c++2a
80073,GCC,inheritance,multiple inheritance,2017/3/16,Crash,Assignment Error,P1 normal,[7 Regression] ICE with virtual base
